"TambonID", "TambonThai", "TambonThaiShort", "PostCodeMain", "PostCodeAll", "PostalCodeRemark", "DistrictID", "DistrictThai", "DistrictThaiShort", "ProvinceID", "ProvinceThai"
"101904", "แขวงบางพรม", "บางพรม", "10170", "10170", "", "1019", "เขตตลิ่งชัน", "ตลิ่งชัน", "10", "กรุงเทพมหานคร"
"101905", "แขวงบางระมาด", "บางระมาด", "10170", "10170", "", "1019", "เขตตลิ่งชัน", "ตลิ่งชัน", "10", "กรุงเทพมหานคร"
"101907", "แขวงบางเชือกหนัง", "บางเชือกหนัง", "10170", "10170", "", "1019", "เขตตลิ่งชัน", "ตลิ่งชัน", "10", "กรุงเทพมหานคร"
"102004", "แขวงศิริราช", "ศิริราช", "10700", "10700", "", "1020", "เขตบางกอกน้อย", "บางกอกน้อย", "10", "กรุงเทพมหานคร"
"102005", "แขวงบ้านช่างหล่อ", "บ้านช่างหล่อ", "10700", "10700", "", "1020", "เขตบางกอกน้อย", "บางกอกน้อย", "10", "กรุงเทพมหานคร"
"102006", "แขวงบางขุนนนท์", "บางขุนนนท์", "10700", "10700", "", "1020", "เขตบางกอกน้อย", "บางกอกน้อย", "10", "กรุงเทพมหานคร"
"102007", "แขวงบางขุนศรี", "บางขุนศรี", "10700", "10700", "", "1020", "เขตบางกอกน้อย", "บางกอกน้อย", "10", "กรุงเทพมหานคร"
"102009", "แขวงอรุณอมรินทร์", "อรุณอมรินทร์", "10700", "10700", "", "1020", "เขตบางกอกน้อย", "บางกอกน้อย", "10", "กรุงเทพมหานคร"
"102105", "แขวงท่าข้าม", "ท่าข้าม", "10150", "10150", "", "1021", "เขตบางขุนเทียน", "บางขุนเทียน", "10", "กรุงเทพมหานคร"
"102107", "แขวงแสมดำ", "แสมดำ", "10150", "10150", "", "1021", "เขตบางขุนเทียน", "บางขุนเทียน", "10", "กรุงเทพมหานคร"
"102201", "แขวงบางหว้า", "บางหว้า", "10160", "10160", "", "1022", "เขตภาษีเจริญ", "ภาษีเจริญ", "10", "กรุงเทพมหานคร"
"102202", "แขวงบางด้วน", "บางด้วน", "10160", "10160", "", "1022", "เขตภาษีเจริญ", "ภาษีเจริญ", "10", "กรุงเทพมหานคร"
"102206", "แขวงบางจาก", "บางจาก", "10160", "10160", "", "1022", "เขตภาษีเจริญ", "ภาษีเจริญ", "10", "กรุงเทพมหานคร"
"102207", "แขวงบางแวก", "บางแวก", "10160", "10160", "", "1022", "เขตภาษีเจริญ", "ภาษีเจริญ", "10", "กรุงเทพมหานคร"
"102208", "แขวงคลองขวาง", "คลองขวาง", "10160", "10160", "", "1022", "เขตภาษีเจริญ", "ภาษีเจริญ", "10", "กรุงเทพมหานคร"
"102209", "แขวงปากคลองภาษีเจริญ", "ปากคลองภาษีเจริญ", "10160", "10160", "", "1022", "เขตภาษีเจริญ", "ภาษีเจริญ", "10", "กรุงเทพมหานคร"
"102210", "แขวงคูหาสวรรค์", "คูหาสวรรค์", "10160", "10160", "", "1022", "เขตภาษีเจริญ", "ภาษีเจริญ", "10", "กรุงเทพมหานคร"
"102302", "แขวงหนองแขม", "หนองแขม", "10160", "10160", "", "1023", "เขตหนองแขม", "หนองแขม", "10", "กรุงเทพมหานคร"
"102303", "แขวงหนองค้างพลู", "หนองค้างพลู", "10160", "10160", "", "1023", "เขตหนองแขม", "หนองแขม", "10", "กรุงเทพมหานคร"
"102401", "แขวงราษฎร์บูรณะ", "ราษฎร์บูรณะ", "10140", "10140", "", "1024", "เขตราษฎร์บูรณะ", "ราษฎร์บูรณะ", "10", "กรุงเทพมหานคร"
"102402", "แขวงบางปะกอก", "บางปะกอก", "10140", "10140", "", "1024", "เขตราษฎร์บูรณะ", "ราษฎร์บูรณะ", "10", "กรุงเทพมหานคร"
"102501", "แขวงบางพลัด", "บางพลัด", "10700", "10700", "", "1025", "เขตบางพลัด", "บางพลัด", "10", "กรุงเทพมหานคร"
"102502", "แขวงบางอ้อ", "บางอ้อ", "10700", "10700", "", "1025", "เขตบางพลัด", "บางพลัด", "10", "กรุงเทพมหานคร"
"102503", "แขวงบางบำหรุ", "บางบำหรุ", "10700", "10700", "", "1025", "เขตบางพลัด", "บางพลัด", "10", "กรุงเทพมหานคร"
"102504", "แขวงบางยี่ขัน", "บางยี่ขัน", "10700", "10700", "", "1025", "เขตบางพลัด", "บางพลัด", "10", "กรุงเทพมหานคร"
"102601", "แขวงดินแดง", "ดินแดง", "10400", "10400", "", "1026", "เขตดินแดง", "ดินแดง", "10", "กรุงเทพมหานคร"
"102602", "แขวงรัชดาภิเษก", "รัชดาภิเษก", "10400", "10400", "", "1026", "เขตดินแดง", "ดินแดง", "10", "กรุงเทพมหานคร"
"102701", "แขวงคลองกุ่ม", "คลองกุ่ม", "10240", "10230", "หมู่ 7-12 ใช้รหัส 10230", "1027", "เขตบึงกุ่ม", "บึงกุ่ม", "10", "กรุงเทพมหานคร"
"102701", "แขวงคลองกุ่ม", "คลองกุ่ม", "10240", "10240", "หมู่ 7-12 ใช้รหัส 10230", "1027", "เขตบึงกุ่ม", "บึงกุ่ม", "10", "กรุงเทพมหานคร"
"102704", "แขวงนวมินทร์", "นวมินทร์", "10240", "10240", "", "1027", "เขตบึงกุ่ม", "บึงกุ่ม", "10", "กรุงเทพมหานคร"
"102705", "แขวงนวลจันทร์", "นวลจันทร์", "10230", "10230", "", "1027", "เขตบึงกุ่ม", "บึงกุ่ม", "10", "กรุงเทพมหานคร"
"102801", "แขวงทุ่งวัดดอน", "ทุ่งวัดดอน", "10120", "10120", "", "1028", "เขตสาทร", "สาทร", "10", "กรุงเทพมหานคร"
"102802", "แขวงยานนาวา", "ยานนาวา", "10120", "10120", "", "1028", "เขตสาทร", "สาทร", "10", "กรุงเทพมหานคร"
"102803", "แขวงทุ่งมหาเมฆ", "ทุ่งมหาเมฆ", "10120", "10120", "", "1028", "เขตสาทร", "สาทร", "10", "กรุงเทพมหานคร"
"102901", "แขวงบางซื่อ", "บางซื่อ", "10800", "10800", "", "1029", "เขตบางซื่อ", "บางซื่อ", "10", "กรุงเทพมหานคร"
"102902", "แขวงวงศ์สว่าง", "วงศ์สว่าง", "10800", "10800", "", "1029", "เขตบางซื่อ", "บางซื่อ", "10", "กรุงเทพมหานคร"
"103001", "แขวงลาดยาว", "ลาดยาว", "10900", "10900", "", "1030", "เขตจตุจักร", "จตุจักร", "10", "กรุงเทพมหานคร"
"103002", "แขวงเสนานิคม", "เสนานิคม", "10900", "10900", "", "1030", "เขตจตุจักร", "จตุจักร", "10", "กรุงเทพมหานคร"
"103003", "แขวงจันทรเกษม", "จันทรเกษม", "10900", "10900", "", "1030", "เขตจตุจักร", "จตุจักร", "10", "กรุงเทพมหานคร"
"103004", "แขวงจอมพล", "จอมพล", "10900", "10900", "", "1030", "เขตจตุจักร", "จตุจักร", "10", "กรุงเทพมหานคร"
"103005", "แขวงจตุจักร", "จตุจักร", "10900", "10900", "", "1030", "เขตจตุจักร", "จตุจักร", "10", "กรุงเทพมหานคร"
"103101", "แขวงบางคอแหลม", "บางคอแหลม", "10120", "10120", "", "1031", "เขตบางคอแหลม", "บางคอแหลม", "10", "กรุงเทพมหานคร"
"103102", "แขวงวัดพระยาไกร", "วัดพระยาไกร", "10120", "10120", "", "1031", "เขตบางคอแหลม", "บางคอแหลม", "10", "กรุงเทพมหานคร"
"103103", "แขวงบางโคล่", "บางโคล่", "10120", "10120", "", "1031", "เขตบางคอแหลม", "บางคอแหลม", "10", "กรุงเทพมหานคร"
"103201", "แขวงประเวศ", "ประเวศ", "10250", "10250", "", "1032", "เขตประเวศ", "ประเวศ", "10", "กรุงเทพมหานคร"
"103202", "แขวงหนองบอน", "หนองบอน", "10250", "10250", "", "1032", "เขตประเวศ", "ประเวศ", "10", "กรุงเทพมหานคร"
"103203", "แขวงดอกไม้", "ดอกไม้", "10250", "10250", "", "1032", "เขตประเวศ", "ประเวศ", "10", "กรุงเทพมหานคร"
"103301", "แขวงคลองเตย", "คลองเตย", "10110", "10110", "", "1033", "เขตคลองเตย", "คลองเตย", "10", "กรุงเทพมหานคร"
"103302", "แขวงคลองตัน", "คลองตัน", "10110", "10110", "", "1033", "เขตคลองเตย", "คลองเตย", "10", "กรุงเทพมหานคร"
"103303", "แขวงพระโขนง", "พระโขนง", "10110", "10110", "ถนนสุขุมวิท ซอย 48, 48, 48, 48, 50 และถนนริมทางรถไฟเก่า หมู่ 1<บ้านเลขที่เลขคี่ ตั้งแต่ 6021-6689 และบ้านเลขที่เลขคู่ ตั้งแต่ 1928-2422> ใช้รหัส 10260", "1033", "เขตคลองเตย", "คลองเตย", "10", "กรุงเทพมหานคร"
"103303", "แขวงพระโขนง", "พระโขนง", "10110", "10260", "ถนนสุขุมวิท ซอย 1, 2, 3, 4, 50 และถนนริมทางรถไฟเก่า หมู่ 1<บ้านเลขที่เลขคี่ ตั้งแต่ 6021-6689 และบ้านเลขที่เลขคู่ ตั้งแต่ 1928-2422> ใช้รหัส 10260", "1033", "เขตคลองเตย", "คลองเตย", "10", "กรุงเทพมหานคร"
"103401", "แขวงสวนหลวง", "สวนหลวง", "10250", "10250", "", "1034", "เขตสวนหลวง", "สวนหลวง", "10", "กรุงเทพมหานคร"
"103402", "แขวงอ่อนนุช", "อ่อนนุช", "10250", "10250", "", "1034", "เขตสวนหลวง", "สวนหลวง", "10", "กรุงเทพมหานคร"
"103403", "แขวงพัฒนาการ", "พัฒนาการ", "10250", "10250", "", "1034", "เขตสวนหลวง", "สวนหลวง", "10", "กรุงเทพมหานคร"
"103501", "แขวงบางขุนเทียน", "บางขุนเทียน", "10150", "10150", "", "1035", "เขตจอมทอง", "จอมทอง", "10", "กรุงเทพมหานคร"
"103502", "แขวงบางค้อ", "บางค้อ", "10150", "10150", "", "1035", "เขตจอมทอง", "จอมทอง", "10", "กรุงเทพมหานคร"
"103503", "แขวงบางมด", "บางมด", "10150", "10150", "", "1035", "เขตจอมทอง", "จอมทอง", "10", "กรุงเทพมหานคร"
"103504", "แขวงจอมทอง", "จอมทอง", "10150", "10150", "", "1035", "เขตจอมทอง", "จอมทอง", "10", "กรุงเทพมหานคร"
"103602", "แขวงสีกัน", "สีกัน", "10210", "10210", "", "1036", "เขตดอนเมือง", "ดอนเมือง", "10", "กรุงเทพมหานคร"
"103604", "แขวงดอนเมือง", "ดอนเมือง", "10210", "10210", "", "1036", "เขตดอนเมือง", "ดอนเมือง", "10", "กรุงเทพมหานคร"
"103605", "แขวงสนามบิน", "สนามบิน", "10210", "10210", "", "1036", "เขตดอนเมือง", "ดอนเมือง", "10", "กรุงเทพมหานคร"
"103701", "แขวงทุ่งพญาไท", "ทุ่งพญาไท", "10400", "10400", "", "1037", "เขตราชเทวี", "ราชเทวี", "10", "กรุงเทพมหานคร"
"103702", "แขวงถนนพญาไท", "ถนนพญาไท", "10400", "10400", "", "1037", "เขตราชเทวี", "ราชเทวี", "10", "กรุงเทพมหานคร"
"103703", "แขวงถนนเพชรบุรี", "ถนนเพชรบุรี", "10400", "10400", "", "1037", "เขตราชเทวี", "ราชเทวี", "10", "กรุงเทพมหานคร"
"103704", "แขวงมักกะสัน", "มักกะสัน", "10400", "10400", "", "1037", "เขตราชเทวี", "ราชเทวี", "10", "กรุงเทพมหานคร"
"103801", "แขวงลาดพร้าว", "ลาดพร้าว", "10230", "10230", "", "1038", "เขตลาดพร้าว", "ลาดพร้าว", "10", "กรุงเทพมหานคร"
"103802", "แขวงจรเข้บัว", "จรเข้บัว", "10230", "10230", "", "1038", "เขตลาดพร้าว", "ลาดพร้าว", "10", "กรุงเทพมหานคร"
"103901", "แขวงคลองเตยเหนือ", "คลองเตยเหนือ", "10110", "10110", "", "1039", "เขตวัฒนา", "วัฒนา", "10", "กรุงเทพมหานคร"
"103902", "แขวงคลองตันเหนือ", "คลองตันเหนือ", "10110", "10110", "", "1039", "เขตวัฒนา", "วัฒนา", "10", "กรุงเทพมหานคร"
"103903", "แขวงพระโขนงเหนือ", "พระโขนงเหนือ", "10110", "10110", "เฉพาะ ถนนสุขุมวิท ซอย 73, 75, 75, 77<บ้านเลขที่เป็นเลขคี่ ตั้งแต่ 1-299 และบ้านเลขที่เป็นเลขคู่ ตั้งแต่ 2-252> และสุขุมวิท ซอย 77, 79, 81 ใช้รหัส 10260", "1039", "เขตวัฒนา", "วัฒนา", "10", "กรุงเทพมหานคร"
